1. Set
1995.Amauris_damocles_subsp_hyalites disjoint 1997.Amauris_hyalites_subsp_makuyensis
1995.Amauris_damocles_subsp_makuyensis disjoint 1997.Amauris_damocles
1995.Amauris_damocles_subsp_makuyensis disjoint 1997.Amauris_hyalites_subsp_hyalites
1995.Amauris_damocles_subsp_damocles disjoint 1997.Amauris_hyalites
1995.Amauris_damocles_subsp_damocles disjoint 1997.Amauris_hyalites_subsp_makuyensis
1995.Amauris_damocles_subsp_damocles disjoint 1997.Amauris_hyalites_subsp_hyalites
1995.Amauris_damocles_subsp_hyalites disjoint 1997.Amauris_damocles
1995.Amauris_damocles includes 1997.Amauris_hyalites_subsp_hyalites
1995.Amauris_damocles includes 1997.Amauris_hyalites_subsp_makuyensis
1995.Amauris_damocles includes 1997.Amauris_hyalites
1995.Amauris_damocles includes 1997.Amauris_damocles
1995.Amauris_damocles_subsp_hyalites is_included_in 1997.Amauris_hyalites
1995.Amauris_damocles_subsp_makuyensis is_included_in 1997.Amauris_hyalites
1995.Amauris_damocles_subsp_hyalites equals 1997.Amauris_hyalites_subsp_hyalites
1995.Amauris_damocles_subsp_makuyensis equals 1997.Amauris_hyalites_subsp_makuyensis
1995.Amauris_damocles_subsp_damocles equals 1997.Amauris_damocles

2. Set
1995.Amauris_damocles_subsp_hyalites disjoint 1997.Amauris_hyalites_subsp_makuyensis
1995.Amauris_damocles_subsp_makuyensis disjoint 1997.Amauris_damocles
1995.Amauris_damocles_subsp_makuyensis disjoint 1997.Amauris_hyalites_subsp_hyalites
1995.Amauris_damocles_subsp_damocles disjoint 1997.Amauris_hyalites
1995.Amauris_damocles_subsp_damocles disjoint 1997.Amauris_hyalites_subsp_makuyensis
1995.Amauris_damocles_subsp_damocles disjoint 1997.Amauris_hyalites_subsp_hyalites
1995.Amauris_damocles_subsp_hyalites disjoint 1997.Amauris_damocles
1995.Amauris_damocles_subsp_hyalites overlaps 1997.Amauris_hyalites
1995.Amauris_damocles overlaps 1997.Amauris_hyalites_subsp_hyalites
1995.Amauris_damocles overlaps 1997.Amauris_hyalites
1995.Amauris_damocles_subsp_hyalites overlaps 1997.Amauris_hyalites_subsp_hyalites
1995.Amauris_damocles includes 1997.Amauris_hyalites_subsp_makuyensis
1995.Amauris_damocles includes 1997.Amauris_damocles
1995.Amauris_damocles_subsp_makuyensis is_included_in 1997.Amauris_hyalites
1995.Amauris_damocles_subsp_makuyensis equals 1997.Amauris_hyalites_subsp_makuyensis
1995.Amauris_damocles_subsp_damocles equals 1997.Amauris_damocles

3. Set
1995.Amauris_damocles_subsp_hyalites disjoint 1997.Amauris_hyalites
1995.Amauris_damocles disjoint 1997.Amauris_hyalites_subsp_hyalites
1995.Amauris_damocles_subsp_hyalites disjoint 1997.Amauris_hyalites_subsp_makuyensis
1995.Amauris_damocles_subsp_hyalites disjoint 1997.Amauris_hyalites_subsp_hyalites
1995.Amauris_damocles_subsp_makuyensis disjoint 1997.Amauris_damocles
1995.Amauris_damocles_subsp_makuyensis disjoint 1997.Amauris_hyalites_subsp_hyalites
1995.Amauris_damocles_subsp_damocles disjoint 1997.Amauris_hyalites
1995.Amauris_damocles_subsp_damocles disjoint 1997.Amauris_hyalites_subsp_makuyensis
1995.Amauris_damocles_subsp_damocles disjoint 1997.Amauris_hyalites_subsp_hyalites
1995.Amauris_damocles_subsp_hyalites disjoint 1997.Amauris_damocles
